OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
-0.452414 0.783603 -0.0412914 0.0717757 0.524938 45.9159 39.9429 -4.52414 7.83604 -407.493 
-0.438153 0.758904 -0.0414665 0.072078 0.525035 45.9308 39.9316 -4.38154 7.58904 -394.77 
-0.422164 0.73121 -0.0415828 0.0722788 0.525101 45.9407 39.9241 -4.22164 7.3121 -380.371 
-0.404509 0.70063 -0.0416608 0.0724134 0.525146 45.9473 39.9191 -4.04509 7.0063 -364.415 
-0.385257 0.667284 -0.0417137 0.0725046 0.525177 45.9519 39.9157 -3.85257 6.67285 -346.991 
-0.364485 0.631306 -0.04175 0.0725673 0.525199 45.955 39.9133 -3.64485 6.31306 -328.181 
-0.342274 0.592836 -0.0417753 0.0726109 0.525214 45.9572 39.9117 -3.42274 5.92836 -308.063 
-0.318712 0.552026 -0.0417933 0.0726419 0.525225 45.9587 39.9106 -3.18712 5.52026 -286.718 
-0.293893 0.509037 -0.0418063 0.0726644 0.525233 45.9598 39.9098 -2.93893 5.09038 -264.234 
-0.267914 0.46404 -0.041816 0.0726811 0.525238 45.9606 39.9091 -2.67914 4.64041 -240.698 
-0.240877 0.417211 -0.0418234 0.072694 0.525242 45.9613 39.9086 -2.40877 4.17212 -216.203 
-0.21289 0.368736 -0.0418294 0.0727042 0.525245 45.9618 39.9082 -2.1289 3.68737 -190.848 
-0.184063 0.318806 -0.0418344 0.0727128 0.525247 45.9622 39.9079 -1.84063 3.18806 -164.731 
-0.154509 0.267617 -0.0418388 0.0727204 0.525248 45.9625 39.9076 -1.54509 2.67618 -137.956 
-0.124345 0.215372 -0.0418429 0.0727275 0.525249 45.9629 39.9073 -1.24346 2.15373 -110.628 
-0.093691 0.162278 -0.041847 0.0727345 0.52525 45.9632 39.907 -0.936913 1.62278 -82.8564 
-0.0626669 0.108542 -0.0418512 0.0727418 0.52525 45.9635 39.9067 -0.626672 1.08543 -54.7494 
-0.0313956 0.0543787 -0.0418558 0.0727498 0.525249 45.9638 39.9063 -0.313959 0.543793 -26.4183 
-3.14159e-07 5.4414e-07 -0.041861 0.0727587 0.525248 45.9642 39.9059 -6.28319e-06 1.08828e-05 2.02489 
0.0313949 -0.0543776 -0.0418671 0.0727692 0.525247 45.9646 39.9055 0.313946 -0.543771 30.468 
0.0626663 -0.108541 -0.0418743 0.0727818 0.525245 45.9651 39.9049 0.62666 -1.08541 58.7988 
0.0936903 -0.162276 -0.0418833 0.0727972 0.525243 45.9658 39.9042 0.9369 -1.62276 86.9053 
0.124345 -0.215371 -0.0418945 0.0728165 0.52524 45.9665 39.9033 1.24344 -2.15371 114.676 
0.154508 -0.267616 -0.0419087 0.072841 0.525236 45.9675 39.9021 1.54508 -2.67616 142.002 
0.184062 -0.318805 -0.041927 0.0728727 0.52523 45.9688 39.9007 1.84062 -3.18804 168.775 
0.212889 -0.368735 -0.0419511 0.0729142 0.525223 45.9705 39.8987 2.12889 -3.68735 194.887 
0.240877 -0.41721 -0.0419831 0.0729694 0.525213 45.9727 39.8962 2.40876 -4.1721 220.236 
0.267913 -0.464039 -0.0420263 0.073044 0.525199 45.9757 39.8927 2.67913 -4.64039 244.717 
0.293892 -0.509037 -0.0420854 0.073146 0.525181 45.9798 39.8879 2.93892 -5.09036 268.229 
0.318712 -0.552025 -0.0421673 0.0732874 0.525155 45.9854 39.8813 3.18712 -5.52025 290.668 
0.342273 -0.592835 -0.0422825 0.0734862 0.525118 45.9934 39.872 3.42273 -5.92834 311.925 
0.364484 -0.631305 -0.0424463 0.0737689 0.525066 46.0047 39.8588 3.64484 -6.31305 331.868 
0.385256 -0.667284 -0.0426819 0.0741757 0.524991 46.021 39.8398 3.85256 -6.67283 350.322 
0.404508 -0.700629 -0.0430247 0.0747676 0.524882 46.0446 39.8121 4.04508 -7.00629 366.997 
0.422164 -0.731209 -0.0435281 0.075637 0.524723 46.0794 39.7715 4.22164 -7.31209 381.356 
