OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
-0.293895 0.509041 -0.00191101 -0.00170393 -2.26899 -41.9397 -41.7563 -2.93898 5.09046 -260.282 
-0.267916 0.464044 -0.00190784 -0.00170659 -2.26903 -41.9403 -41.7572 -2.67919 4.64049 -237.147 
-0.24088 0.417216 -0.00190476 -0.00170918 -2.26908 -41.941 -41.7582 -2.40882 4.1722 -213.07 
-0.212892 0.368741 -0.00190164 -0.0017118 -2.26913 -41.9418 -41.7593 -2.12895 3.68746 -188.147 
-0.184065 0.31881 -0.00189836 -0.00171455 -2.26919 -41.9427 -41.7606 -1.84068 3.18815 -162.476 
-0.154511 0.267622 -0.00189482 -0.00171752 -2.26926 -41.9438 -41.762 -1.54514 2.67627 -136.158 
-0.124348 0.215377 -0.00189093 -0.00172079 -2.26934 -41.9451 -41.7636 -1.24351 2.15382 -109.299 
-0.0936937 0.162282 -0.00188658 -0.00172445 -2.26943 -41.9466 -41.7656 -0.936968 1.62288 -82.0036 
-0.0626697 0.108547 -0.00188167 -0.00172857 -2.26954 -41.9484 -41.7679 -0.626729 1.08553 -54.3809 
-0.0313984 0.0543836 -0.00187608 -0.00173327 -2.26968 -41.9506 -41.7706 -0.314015 0.54389 -26.5407 
-3.14159e-06 5.4414e-06 -0.00186969 -0.00173864 -2.26984 -41.9533 -41.7739 -6.28319e-05 0.000108828 1.40574 
0.0313921 -0.0543728 -0.00186238 -0.00174478 -2.27004 -41.9566 -41.7779 0.31389 -0.543673 29.3459 
0.0626635 -0.108536 -0.00185401 -0.00175182 -2.27029 -41.9607 -41.7829 0.626604 -1.08531 57.1659 
